,Comuna,causa,n_def,Nombre Comuna,Poblacion 2017,tasa_def,prop_rural,etnia,ingreso,tasa_denuncias,region,rm,tiempo_hospital
86,6116,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",8.0,Requínoa,29017.0,27.570045145948924,41.92369990005859,4.151769427216345,254556.6376140095,930.8510638297872,6.0,0.0,16.54
87,6117,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",18.0,San Vicente,48801.0,36.88449007192476,43.876150078891826,4.774371477676966,286341.1717694552,1234.9594624060894,6.0,0.0,11.47
88,6201,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",8.0,Pichilemu,16982.0,47.10870333294076,22.341302555647154,1.0411311053984575,402211.393059126,775.3273604410751,6.0,0.0,9.61
89,6202,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",2.0,La Estrella,3093.0,64.66214031684449,60.976398318784355,3.2372143634385204,225107.52366702937,690.1991717609939,6.0,0.0,31.19
90,6203,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Litueche,6554.0,61.03143118706134,45.28532194079951,1.1445449510799335,245405.85656267306,2215.282115344576,6.0,0.0,15.09
91,6204,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",6.0,Marchihue,7484.0,80.17103153393907,53.6878674505612,0.812807881773399,228233.7155172414,5367.7092138630605,6.0,0.0,13.81
92,6205,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",3.0,Navidad,6650.0,45.11278195488722,100.0,2.426375254676792,196745.60955732543,980.50139275766,6.0,0.0,32.49
93,6206,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",5.0,Paredones,6360.0,78.61635220125787,68.66352201257861,0.6875934230194319,210040.65455904335,1721.2075430976342,6.0,0.0,40.8
95,6302,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",11.0,Chépica,15590.0,70.55805003207183,41.95638229634381,0.3734687780101584,207757.69674335225,1015.2660441677782,6.0,0.0,26.51
96,6303,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",17.0,Chimbarongo,36744.0,46.266057043326796,42.420531243196166,1.136785581674331,192290.17128902345,958.0018817894106,6.0,0.0,14.15
97,6304,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",5.0,Lolol,7095.0,70.47216349541931,63.791402396053556,0.0,199265.67491378018,1852.0300173176836,6.0,0.0,18.17
98,6305,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",7.0,Nancagua,18514.0,37.80922545101004,36.59933023657773,2.7177269919703524,213518.15902071988,1292.3997823326683,6.0,0.0,16.75
